# 日本史の出来事。key	出来事	年・場所	よみ	絵文字	解説	緯度	経度	地図の目印	はじめのレベル(1か空)
jvyayoi	弥生時代の始まり	日本・前4世紀ごろ 佐賀(吉野ヶ里)	やよいじだいのはじまり	🌾	紀元前4世紀ごろ、大陸から稲作と金属器が伝わり弥生時代が始まった。米をめぐって争いが起き、吉野ヶ里のような環濠集落が生まれた。	33.32	130.38	吉野ヶ里歴史公園	1
jvkinin	奴国王の金印	日本・57年 福岡(志賀島)	なこくおうのきんいん	🏺	57年、奴国の王が後漢の光武帝から金印を授かった。江戸時代に志賀島で発見され、漢委奴国王と刻まれている。国宝。	33.66	130.31	金印公園 志賀島	1
jvyamatai	邪馬台国と卑弥呼	日本・239年 奈良(纒向)	やまたいこくとひみこ	👘	3世紀、女王卑弥呼が邪馬台国を治め、239年に魏へ使いを送って親魏倭王の称号と銅鏡をもらった。場所は畿内説と九州説がある。	34.54	135.84	纒向遺跡	1
jviwai	磐井の乱	日本・527年 福岡(八女)	いわいのらん	⚔️	527年、筑紫国造の磐井が新羅と結んでヤマト政権に反乱を起こした。翌年しずめられ、政権の九州支配が強まった。岩戸山古墳が磐井の墓。	33.22	130.53	岩戸山古墳	
jvbukkyo	仏教伝来	日本・538年 奈良(飛鳥)	ぶっきょうでんらい	⛩️	538年(552年説も)、百済の聖明王から仏像と経典が贈られ、仏教が正式に伝わった。受け入れをめぐり蘇我氏と物部氏が対立した。	34.48	135.82	飛鳥寺	1
jvkenzui	遣隋使の派遣	日本・607年 奈良(飛鳥)	けんずいしのはけん	🚢	607年、聖徳太子が小野妹子を隋へ送った。日出づる処の天子で始まる国書は対等な外交をめざしたもので、隋の皇帝を怒らせた。	34.47	135.82	飛鳥宮跡	1
jvtaika	大化の改新	日本・645年 奈良(飛鳥)	たいかのかいしん	📜	645年、中大兄皇子と中臣鎌足が飛鳥板蓋宮で蘇我入鹿をたおし、天皇中心の国づくりを始めた。公地公民を目指し、初めて年号の大化を定めた。	34.47	135.82	飛鳥板蓋宮跡	1
jvhakusukinoe	白村江の戦い	日本・663年 福岡(水城)	はくすきのえのたたかい	⚓	663年、百済を助けるため送った倭の水軍が唐と新羅の連合軍に大敗した。攻めこまれるのを恐れて大宰府を守る水城や山城を築いた。	33.53	130.48	水城跡	
jvjinshin	壬申の乱	日本・672年 岐阜(不破)	じんしんのらん	⚔️	672年、天智天皇の死後、弟の大海人皇子と息子の大友皇子が皇位を争った古代最大の内乱。勝った大海人皇子が天武天皇となった。	35.37	136.47	不破関跡	
jvtaiho	大宝律令	日本・701年 奈良(藤原京)	たいほうりつりょう	📜	701年、藤原京で刑部親王と藤原不比等らが唐にならって大宝律令を完成させた。律は刑法、令は行政法。律令国家のしくみが整った。	34.50	135.81	藤原宮跡	
