# 日本の会社。key	会社名	本社	よみ	絵文字	解説	緯度	経度	公式サイト	ティッカー	Wikipedia題名	はじめのレベル(1か空)
cjtoyota	トヨタ自動車	日本・愛知県豊田市	とよたじどうしゃ	🚗	世界でトップクラスの台数の車をつくる自動車メーカー。カローラやプリウスが有名で、もとは布を織る機械の会社から始まった。	35.08	137.16	https://global.toyota/jp/	TM	トヨタ自動車	1
cjnintendo	任天堂	日本・京都府京都市	にんてんどう	🎮	京都で花札やトランプの会社として始まった。いまはニンテンドースイッチやマリオ、ゼルダのゲームで世界中に知られている。	34.97	135.76	https://www.nintendo.co.jp/	7974.T	任天堂	1
cjsony	ソニーグループ	日本・東京都港区	そにーぐるーぷ	🎧	プレイステーションやカメラ、テレビ、音楽、映画までつくる会社。むかしは持ち歩ける音楽プレーヤーのウォークマンで世界をおどろかせた。	35.63	139.74	https://www.sony.com/ja/	SONY	ソニーグループ	1
cjhonda	本田技研工業	日本・東京都港区	ほんだぎけんこうぎょう	🏍️	バイクと車をつくる会社。スーパーカブは世界でいちばん多くつくられたバイクで、二本足で歩くロボットのアシモも開発した。	35.67	139.73	https://global.honda/jp/	HMC	本田技研工業	1
cjbandainamco	バンダイナムコホールディングス	日本・東京都港区	ばんだいなむこほーるでぃんぐす	🧸	ガンプラやたまごっち、パックマン、太鼓の達人など、おもちゃとゲームをつくる会社。アニメづくりの仕事もしている。	35.65	139.75	https://www.bandainamco.co.jp/	7832.T	バンダイナムコホールディングス	1
cjsanrio	サンリオ	日本・東京都品川区	さんりお	🎀	ハローキティやシナモロール、マイメロディなどのキャラクターを生んだ会社。東京の多摩市にはサンリオピューロランドがある。	35.62	139.73	https://www.sanrio.co.jp/	8136.T	サンリオ	1
cjorientalland	オリエンタルランド	日本・千葉県浦安市	おりえんたるらんど	🏰	千葉県浦安市にある東京ディズニーランドと東京ディズニーシーを運営する会社。アメリカのディズニーの会社と約束を結んで運営している。	35.64	139.88	https://www.olc.co.jp/ja/	4661.T	オリエンタルランド	1
cjfastretailing	ファーストリテイリング	日本・山口県山口市	ふぁーすとりていりんぐ	👕	ユニクロやジーユーを運営する会社。ヒートテックやフリースが有名で、山口県の小さな洋服店から世界に広がった。	34.18	131.47	https://www.fastretailing.com/jp/	9983.T	ファーストリテイリング	1
cjpanasonic	パナソニックホールディングス	日本・大阪府門真市	ぱなそにっくほーるでぃんぐす	🔋	松下幸之助が大阪でつくった電気の会社。電球のソケットから始まり、いまは冷蔵庫や洗濯機、電気自動車の電池をつくる。	34.74	135.59	https://holdings.panasonic/jp/	6752.T	パナソニックホールディングス	1
cjyakult	ヤクルト本社	日本・東京都港区	やくるとほんしゃ	🥛	乳酸菌の飲み物ヤクルトをつくる会社。ヤクルトレディが家や会社まで届けるしくみがあり、世界の多くの国でも飲まれている。	35.65	139.76	https://www.yakult.co.jp/	2267.T	ヤクルト本社	1
