# 世界の会社。key	会社名	本社	よみ	絵文字	解説	緯度	経度	公式サイト	ティッカー	Wikipedia題名	はじめのレベル(1か空)
cwapple	アップル	アメリカ・カリフォルニア州クパチーノ	あっぷる	📱	iPhoneやMacをつくるアメリカの会社。1976年にスティーブ・ジョブズたちがガレージで始めた。	37.33	-122.01	https://www.apple.com/jp/	AAPL	Apple	1
cwalphabet	アルファベット	アメリカ・カリフォルニア州マウンテンビュー	あるふぁべっと	🔍	検索のGoogleや動画のYouTube、スマホのAndroidを持つ会社。Googleは1998年に大学院生2人が始めた。	37.42	-122.08	https://abc.xyz/investor/	GOOG	Alphabet	1
cwmicrosoft	マイクロソフト	アメリカ・ワシントン州レドモンド	まいくろそふと	💻	パソコンのWindowsやOffice、ゲーム機のXboxをつくる会社。1975年にビル・ゲイツたちが始めた。	47.64	-122.13	https://www.microsoft.com/ja-jp/	MSFT	マイクロソフト	1
cwamazon	アマゾン・ドット・コム	アメリカ・ワシントン州シアトル	あまぞんどっとこむ	📦	インターネットで何でも売る通販の会社。はじめは本だけを売っていた。データを預かるクラウドの仕事も大きい。	47.62	-122.34	https://www.aboutamazon.jp/	AMZN	Amazon.com	1
cwnvidia	エヌビディア	アメリカ・カリフォルニア州サンタクララ	えぬびでぃあ	🎮	ゲームの絵やAIの計算に使う半導体GPUをつくる会社。AIブームで世界有数の大きな会社になった。	37.37	-121.96	https://www.nvidia.com/ja-jp/	NVDA	NVIDIA	1
cwmeta	メタ・プラットフォームズ	アメリカ・カリフォルニア州メンローパーク	めたぷらっとふぉーむず	👍	FacebookやInstagram、WhatsAppを運営する会社。2021年にフェイスブックから今の名前に変わった。	37.48	-122.15	https://about.meta.com/	META	Meta (企業)	
cwtesla	テスラ	アメリカ・テキサス州オースティン	てすら	🚗	電気で走る自動車をつくる会社。家で電気をためる蓄電池や、太陽光パネルもつくっている。	30.22	-97.62	https://www.tesla.com/ja_jp	TSLA	テスラ (会社)	1
cwspacex	スペースX	アメリカ・テキサス州スターベース	すぺーすえっくす	🚀	宇宙ロケットをつくる会社。打ち上げたロケットを着陸させて、もう一度使うことに成功した。	25.99	-97.19	https://www.spacex.com/	SPCX	スペースX	1
cwwalmart	ウォルマート	アメリカ・アーカンソー州ベントンビル	うぉるまーと	🛒	世界でいちばん売り上げが大きいスーパーマーケットの会社。アメリカじゅうに大きなお店がある。	36.37	-94.21	https://corporate.walmart.com/	WMT	ウォルマート	
cwcocacola	コカ・コーラ	アメリカ・ジョージア州アトランタ	こかこーら	🥤	炭酸飲料コカ・コーラの会社。1886年にアトランタの薬局で売られた飲み物がはじまり。	33.77	-84.40	https://www.coca-cola.com/jp/ja	KO	ザ コカ・コーラ カンパニー	1
cwmcdonalds	マクドナルド	アメリカ・イリノイ州シカゴ	まくどなるど	🍔	ハンバーガーのお店を世界100か国以上に広げた会社。本社はシカゴにある。	41.88	-87.66	https://corporate.mcdonalds.com/	MCD	マクドナルド	1
cwdisney	ウォルト・ディズニー	アメリカ・カリフォルニア州バーバンク	うぉるとでぃずにー	🏰	ミッキーマウスの映画やテーマパークの会社。ピクサーやマーベル、スター・ウォーズの映画もつくる。	34.16	-118.32	https://thewaltdisneycompany.com/	DIS	ウォルト・ディズニー・カンパニー	1
cwnike	ナイキ	アメリカ・オレゴン州ビーバートン	ないき	👟	スポーツのくつや服をつくる会社。社名はギリシャ神話の勝利の女神ニケから取った。	45.51	-122.83	https://www.nike.com/jp/	NKE	ナイキ	1
cwnetflix	ネットフリックス	アメリカ・カリフォルニア州ロスガトス	ねっとふりっくす	🎬	インターネットで映画やドラマを配信する会社。むかしはDVDを郵便で貸し出していた。	37.26	-121.96	https://about.netflix.com/ja	NFLX	Netflix	1
cwstarbucks	スターバックス	アメリカ・ワシントン州シアトル	すたーばっくす	☕	コーヒーのお店を世界中に持つ会社。1971年にシアトルで1号店が開いた。	47.58	-122.34	https://www.starbucks.co.jp/	SBUX	スターバックス	1
cwpepsico	ペプシコ	アメリカ・ニューヨーク州パーチェス	ぺぷしこ	🥤	炭酸飲料のペプシや、ポテトチップスのレイズ、ドリトスをつくる食べものと飲みものの会社。	41.04	-73.70	https://www.pepsico.com/	PEP	ペプシコ	1
cwboeing	ボーイング	アメリカ・バージニア州アーリントン	ぼーいんぐ	✈️	旅客機の747や787をつくる会社。宇宙船や人工衛星もつくっている。	38.86	-77.05	https://www.boeing.com/	BA	ボーイング	
cwcostco	コストコ	アメリカ・ワシントン州イサクア	こすとこ	🛒	会員になると買い物できる倉庫のような大きなお店。大きな箱のまとめ売りで安く売る。	47.55	-122.05	https://www.costco.co.jp/	COST	コストコ	
cwintel	インテル	アメリカ・カリフォルニア州サンタクララ	いんてる	🖥️	パソコンの頭脳CPUをつくる会社。1968年に始まり、半導体の歴史を切り開いてきた。	37.39	-121.96	https://www.intel.co.jp/	INTC	インテル	
cwamd	AMD	アメリカ・カリフォルニア州サンタクララ	えーえむでぃー	🖥️	パソコンやゲーム機の頭脳になる半導体をつくる会社。PlayStationやXboxにも使われている。	37.38	-121.97	https://www.amd.com/ja.html	AMD	AMD	
cwjnj	ジョンソン・エンド・ジョンソン	アメリカ・ニュージャージー州ニューブランズウィック	じょんそんえんどじょんそん	💊	薬や手術の道具をつくる大きな会社。1886年にジョンソン家の3人の兄弟が始めた。	40.50	-74.45	https://www.jnj.co.jp/	JNJ	ジョンソン・エンド・ジョンソン	
cwpg	プロクター・アンド・ギャンブル	アメリカ・オハイオ州シンシナティ	ぷろくたーあんどぎゃんぶる	🧴	洗剤や紙おむつのパンパース、シャンプーをつくる会社。ろうそくと石けんの店から始まった。	39.10	-84.51	https://jp.pg.com/	PG	プロクター・アンド・ギャンブル	
cwexxon	エクソンモービル	アメリカ・テキサス州スプリング	えくそんもーびる	⛽	石油や天然ガスをほり出して、ガソリンなどにする会社。本社はヒューストンの近くにある。	30.09	-95.43	https://corporate.exxonmobil.com/	XOM	エクソンモービル	
cwvisa	ビザ	アメリカ・カリフォルニア州サンフランシスコ	びざ	💳	カードで支払うしくみを世界中で運営する会社。カードそのものは銀行などが発行している。	37.78	-122.39	https://www.visa.co.jp/	V	Visa	
