# 世界の首都。key	首都名	国名	よみ	絵文字(国旗)	解説	緯度	経度	地図の目印	はじめのレベル(1か空)
captokyo	東京	日本	とうきょう	🇯🇵	日本の首都。世界でもっとも人口の多い都市圏のひとつで、皇居や国会議事堂、東京タワー、スカイツリーがある。	35.68	139.69	皇居	1
capseoul	ソウル	韓国	そうる	🇰🇷	朝鮮半島の南、漢江のほとりにある韓国の首都。人口約1000万人。朝鮮王朝の王宮 景福宮や、Nソウルタワーが有名。	37.57	126.98	景福宮	1
cappyongyang	平壌	北朝鮮	ぴょんやん	🇰🇵	朝鮮半島の北、大同江のほとりにある北朝鮮の首都。ピョンヤンと読む。金日成広場や主体思想塔がある。	39.02	125.75	金日成広場	1
capbeijing	北京	中国	ぺきん	🇨🇳	中国の首都。ペキンと読む。明・清の時代から都で、紫禁城(故宮)や天安門広場、近くには万里の長城がある。	39.90	116.40	天安門広場	1
captaipei	台北	台湾	たいぺい	🇹🇼	台湾の北部にある中心都市。タイペイと読む。高さ508mの台北101や、故宮博物院、夜市のグルメで知られる。	25.03	121.57	台北101	1
capulaanbaatar	ウランバートル	モンゴル	うらんばーとる	🇲🇳	モンゴル高原にある世界でいちばん寒い首都のひとつ。冬はマイナス30度になる。名前は「赤い英雄」の意味。	47.92	106.92	スフバートル広場	1
capmanila	マニラ	フィリピン	まにら	🇵🇭	ルソン島にあるフィリピンの首都。スペイン時代の城壁の町イントラムロスが残り、マニラ湾の夕日が美しい。	14.60	120.98	イントラムロス	1
caphanoi	ハノイ	ベトナム	はのい	🇻🇳	ベトナム北部、紅河のほとりにある首都。1000年の歴史があり、ホアンキエム湖のまわりに旧市街が広がる。	21.03	105.85	ホアンキエム湖	1
capvientiane	ビエンチャン	ラオス	びえんちゃん	🇱🇦	メコン川のほとり、タイとの国境にあるラオスの首都。金色の仏塔タートルアンは国のシンボル。	17.97	102.60	タートルアン	
capphnompenh	プノンペン	カンボジア	ぷのんぺん	🇰🇭	メコン川とトンレサップ川が合流する場所にあるカンボジアの首都。黄金の屋根の王宮やシルバーパゴダがある。	11.56	104.92	プノンペン王宮	1
capbangkok	バンコク	タイ	ばんこく	🇹🇭	チャオプラヤ川のほとりにあるタイの首都。ワット・プラケオなど寺院が多く、正式名は世界一長い都市名。	13.75	100.50	ワット・プラケオ	1
capnaypyidaw	ネピドー	ミャンマー	ねぴどー	🇲🇲	2006年にヤンゴンから移された新しい首都。国のまん中に計画的に造られ、広い道路と大きなパゴダがある。	19.76	96.08	ウッパタサンティ・パゴダ	1
capkualalumpur	クアラルンプール	マレーシア	くあらるんぷーる	🇲🇾	マレー半島にあるマレーシアの首都。高さ452mのペトロナスツインタワーがそびえる。名前は「泥の川の合流点」の意味。	3.14	101.69	ペトロナスツインタワー	1
capsingapore	シンガポール	シンガポール	しんがぽーる	🇸🇬	マレー半島の先にある都市国家で、国そのものが首都。マーライオンやマリーナベイ・サンズ、貿易港で有名。	1.29	103.85	マーライオン公園	1
capbandarseribegawan	バンダルスリブガワン	ブルネイ	ばんだるすりぶがわん	🇧🇳	ボルネオ島にある石油の国ブルネイの首都。黄金のドームのモスクや、川の上に広がる水上集落がある。	4.90	114.94	スルタン・オマール・アリ・サイフディン・モスク	
capjakarta	ジャカルタ	インドネシア	じゃかるた	🇮🇩	ジャワ島にあるインドネシアの首都。人口1000万人をこえる大都市。独立記念塔モナスが中心に立つ。	-6.21	106.85	モナス 独立記念塔	1
capdili	ディリ	東ティモール	でぃり	🇹🇱	2002年に独立したアジアでいちばん新しい国の首都。ティモール島の北岸にあり、丘の上のキリスト像が見守る。	-8.56	125.58	クリスト・レイ	
capnewdelhi	ニューデリー	インド	にゅーでりー	🇮🇳	インドの首都。イギリス時代に計画的に造られた町で、インド門や国会議事堂がある。南のアグラには世界遺産のタージマハル。	28.61	77.21	インド門	1
capislamabad	イスラマバード	パキスタン	いすらまばーど	🇵🇰	1960年代に造られた計画都市で、名前は「イスラムの町」の意味。白い大きなファイサル・モスクが有名。	33.69	73.04	ファイサル・モスク	1
capdhaka	ダッカ	バングラデシュ	だっか	🇧🇩	ガンジス川のデルタにあるバングラデシュの首都。人口密度が世界でもっとも高い都市のひとつ。リキシャが走る。	23.81	90.41	ラールバーグ・フォート	1
capsrijayawardenepurakotte	スリジャヤワルダナプラコッテ	スリランカ	すりじゃやわるだなぷらこって	🇱🇰	世界一長い名前の首都として有名。1985年にコロンボから移され、国会議事堂がある。コロンボはいまも経済の中心。	6.90	79.91	スリランカ国会議事堂	1
capkathmandu	カトマンズ	ネパール	かとまんず	🇳🇵	ヒマラヤの山ふところ、標高1400mにあるネパールの首都。ダルバール広場の古い寺院や王宮が世界遺産。	27.72	85.32	ダルバール広場	
capthimphu	ティンプー	ブータン	てぃんぷー	🇧🇹	ヒマラヤの国ブータンの首都。標高2300mにあり、信号機がない首都として知られる。城塞タシチョ・ゾンがある。	27.47	89.64	タシチョ・ゾン	
capmale	マレ	モルディブ	まれ	🇲🇻	インド洋のサンゴ礁の島国の首都。小さな島に高い建物がぎっしり並び、世界でも人口密度がとても高い。	4.18	73.51		
capkabul	カブール	アフガニスタン	かぶーる	🇦🇫	山にかこまれた標高1800mの都市。古くからシルクロードの要所で、多くの民族や文化が行きかった。	34.53	69.17		
capastana	アスタナ	カザフスタン	あすたな	🇰🇿	1997年にアルマトイから移された首都。近未来的な建物が並び、塔バイテレクがシンボル。一時ヌルスルタンと呼ばれた。	51.17	71.43	バイテレク	
captashkent	タシケント	ウズベキスタン	たしけんと	🇺🇿	中央アジアでいちばん大きな都市。シルクロードのオアシスとして栄え、名前は「石の町」の意味。	41.30	69.24		
capbishkek	ビシュケク	キルギス	びしゅけく	🇰🇬	天山山脈のふもとにあるキルギスの首都。街のすぐ南に雪をかぶった山々が見える。緑が多い町。	42.87	74.59		
capdushanbe	ドゥシャンベ	タジキスタン	どぅしゃんべ	🇹🇯	パミール高原の国タジキスタンの首都。名前は「月曜日」の意味で、月曜に市が立った村から発展した。	38.56	68.77		
capashgabat	アシガバート	トルクメニスタン	あしがばーと	🇹🇲	カラクム砂漠のはしにある首都。白い大理石の建物が並び、大理石の建物の多さで世界記録を持つ。	37.95	58.38		
