# 宇宙。key	名前	分類	よみ	絵文字	解説	地図(sky|solar)	x	y	Wikipedia題名	はじめのレベル(1か空)
solsun	太陽	恒星	たいよう	☀️	太陽系の中心にある恒星。直径は地球の約109倍、表面温度は約6000度。水素の核融合で光と熱を出し、光は約8分で地球にとどく。	solar	0.03	0	太陽	1
solmercury	水星	惑星	すいせい	🪐	太陽にいちばん近く、いちばん小さい惑星。大気がほとんどなく、昼は400度、夜はマイナス170度。公転周期は約88日。	solar	0.10	0	水星	1
solvenus	金星	惑星	きんせい	🪐	地球のすぐ内側をまわる、大きさが地球とほぼ同じ惑星。二酸化炭素の厚い大気の温室効果で表面は約460度。明けの明星・宵の明星。	solar	0.16	0	金星	1
solearth	地球	惑星	ちきゅう	🌍	太陽から3番目の惑星で、わたしたちのすむ星。表面の約7割が海で、生命がいることが分かっている ただひとつの天体。直径約1万2700km。	solar	0.22	0	地球	1
solmoon	月	衛星(地球)	つき	🌙	地球のまわりをまわる ただひとつの衛星。直径は地球の約4分の1、距離は約38万km。いつも同じ面を地球に向け、約29.5日で満ち欠けする。	solar	0.24	-0.3	月	1
solmars	火星	惑星	かせい	🪐	地球のすぐ外側をまわる赤い惑星。酸化鉄の砂で赤く見える。太陽系最大の火山オリンポス山があり、昔は水が流れていた跡もある。	solar	0.29	0	火星	1
soljupiter	木星	惑星	もくせい	🪐	太陽系でいちばん大きな惑星。直径は地球の約11倍。ガスでできていて、大赤斑という地球より大きなうずがある。衛星は90個以上。	solar	0.45	0	木星	1
solsaturn	土星	惑星	どせい	🪐	美しい環をもつ、太陽系で2番目に大きな惑星。環は氷のつぶでできている。密度が水より小さく、大きな海があれば浮くといわれる。	solar	0.57	0	土星	1
soluranus	天王星	惑星	てんのうせい	🪐	1781年にハーシェルが望遠鏡で発見した、青緑色の惑星。自転軸が横だおしになっていて、ころがるように公転している。	solar	0.69	0	天王星	1
solneptune	海王星	惑星	かいおうせい	🪐	太陽からいちばん遠い8番目の惑星。計算で位置を予言されて1846年に発見された。青い色で、太陽系で最も強い風がふく。	solar	0.80	0	海王星	1
