# 偉人。key	名前	国・時代	よみ	Wikipediaの題名(肖像)	プロフィール	緯度	経度	名言	名言の解説	はじめのレベル(1)	生まれた所
shotoku	聖徳太子	日本・飛鳥時代	しょうとくたいし	聖徳太子	推古天皇のもとで政治を行い、十七条の憲法や冠位十二階を定めた。法隆寺を建て、仏教を広めた。	34.47	135.82	和をもって貴しとなす。	みんなが仲良くすることがいちばん大切だ、という意味。十七条の憲法の第一条で、今も日本人の心に生きている言葉。	1	飛鳥(奈良県)
murasaki	紫式部	日本・平安時代	むらさきしきぶ	紫式部	世界最古の長編小説といわれる「源氏物語」を書いた作家。宮中で働きながら書いた。	35.01	135.77	めぐりあひて 見しやそれとも わかぬまに 雲がくれにし 夜半の月かな。	久しぶりに会えた友だちが、それと気づくまもなく帰ってしまった。まるで雲にかくれる夜中の月のように、という歌。百人一首にも入っている。	1	京都
seishonagon	清少納言	日本・平安時代	せいしょうなごん	清少納言	随筆「枕草子」を書いた。四季の美しさや宮中の暮らしを、するどい感じ方で書いた。	35.01	135.77	春はあけぼの。	春は夜明けがいちばんいい、という「枕草子」の書き出し。季節ごとの一番いい時間を書いた、日本でいちばん有名な書き出し。	1	京都
masako	北条政子	日本・鎌倉時代	ほうじょうまさこ	北条政子	源頼朝の妻で、頼朝の死後は「尼将軍」と呼ばれて幕府を支えた。	35.03	138.93	頼朝公のご恩は、山よりも高く、海よりも深い。	承久の乱のとき、武士たちに団結を呼びかけた演説の言葉。この一言で幕府軍はまとまり、勝利した。		伊豆の国(静岡県)
kukai	空海	日本・平安時代	くうかい	空海	唐に渡って密教を学び、真言宗を開いた僧。高野山を開き、字がとても上手で「弘法大師」と呼ばれる。	34.22	133.78	物の興廃は、必ず人による。	ものごとがさかえるかおとろえるかは、結局は人しだいだ、という意味。仕組みより人を育てることが大切。	1	善通寺(香川県)
saicho	最澄	日本・平安時代	さいちょう	最澄	比叡山に延暦寺を建て、天台宗を開いた僧。多くの弟子を育て、のちの仏教の先生たちを生んだ。	35.02	135.86	一隅を照らす、これすなわち国宝なり。	自分のいる場所を明るく照らす人こそ、国の宝だ、という意味。目立たなくても、自分の持ち場でがんばる人がえらい。		大津(滋賀県)
honen	法然	日本・平安〜鎌倉時代	ほうねん	法然	「南無阿弥陀仏」と念仏をとなえれば、だれでも救われると説いて浄土宗を開いた。	34.98	133.83	ただ一向に、念仏すべし。	むずかしい修行ができなくても、ひたすら念仏をとなえればよい、という教え。ふつうの人にも仏教の道を開いた。		久米(岡山県)
shinran	親鸞	日本・鎌倉時代	しんらん	親鸞	法然の弟子で、浄土真宗を開いた。僧でありながら結婚し、ふつうの人と同じ暮らしの中で教えを広めた。	35.01	135.77	善人なおもって往生をとぐ、いわんや悪人をや。	良い人でさえ救われるのだから、自分の弱さを知っている人はなおさら救われる、という教え。「歎異抄」の言葉。		京都
nichiren	日蓮	日本・鎌倉時代	にちれん	日蓮	法華経こそ本当の教えだと説いて日蓮宗を開いた。幕府を批判して何度も流罪になった。	35.1	140.1	冬は、必ず春となる。	どんなにつらい時期も必ず終わり、良い時が来る、という意味。苦しんでいる弟子をはげました手紙の言葉。	1	鴨川(千葉県)
dogen	道元	日本・鎌倉時代	どうげん	道元	宋に渡って禅を学び、曹洞宗を開いた。ただひたすら座禅をする「只管打坐」を説き、永平寺を建てた。	35.01	135.77	霧の中を行けば、おぼえざるに衣しめる。	霧の中を歩くと知らないうちに服がぬれるように、良い人のそばにいれば知らず知らず良くなる、という意味。		京都
