# 世界史の出来事。key	出来事	年・場所	よみ	絵文字	解説	緯度	経度	地図の目印	はじめのレベル(1か空)
evmesopotamia	メソポタミア文明	前3000年ごろ・イラク	めそぽたみあぶんめい	🏛️	ティグリス川とユーフラテス川のあいだで栄えた 世界最古の文明のひとつ。くさび形文字や 60進法を生み出し、いまも1時間は60分。	30.96	46.10	ウル遺跡 イラク	1
evegypt	エジプト文明	前3000年ごろ・エジプト	えじぷとぶんめい	🏛️	ナイル川の めぐみで栄えた文明。王(ファラオ)のために巨大なピラミッドが造られ、象形文字や太陽暦が生まれた。	29.979	31.134	ギザのピラミッド	1
evindus	インダス文明	前2600年ごろ・パキスタン	いんだすぶんめい	🏛️	インダス川の流域に栄えた文明。モヘンジョダロには 計画的な街なみと下水道があり、インダス文字は いまも解読されていない。	27.33	68.14	モヘンジョダロ	1
evyellowriver	黄河文明	前1600年ごろ・中国	こうがぶんめい	🏛️	黄河のほとりで栄えた文明。殷(いん)の王は うらないで政治を行い、亀の甲や骨に きざんだ甲骨文字は 漢字のもとになった。	36.12	114.31	殷墟 安陽	1
evhammurabi	ハンムラビ法典	前18世紀・バビロニア	はんむらびほうてん	📜	バビロニアの王ハンムラビが定めた法律。「目には目を、歯には歯を」で知られ、石の柱にきざまれた法典がパリのルーヴル美術館に残る。	32.54	44.42	バビロン遺跡 イラク	
evpolis	ギリシャのポリス	前8世紀ごろ・ギリシャ	ぎりしゃのぽりす	🏛️	アテネやスパルタなど、ギリシャ各地にできた都市国家。アテネでは 市民が集まって話し合う民主政が生まれ、いまの民主主義のもとになった。	37.971	23.726	アテネ アクロポリス	1
evpersianwar	ペルシア戦争	前500〜前449年・ギリシャ	ぺるしあせんそう	⚔️	大国ペルシアが ギリシャに攻めこんだ戦争。マラトンの戦いの勝利を伝えに走った兵士の話が マラソンの由来といわれる。	38.15	23.96	マラトン ギリシャ	
evpeloponnesos	ペロポネソス戦争	前431〜前404年・ギリシャ	ぺろぽねそすせんそう	⚔️	アテネとスパルタが ギリシャの主導権をめぐって争った戦争。スパルタが勝ったが、ポリス全体が おとろえるきっかけになった。	37.07	22.43	スパルタ ギリシャ	
evalexander	アレクサンドロスの東方遠征	前334年・マケドニア	あれくさんどろすのとうほうえんせい	🛡️	マケドニアの若い王が ペルシアをたおし インダス川まで進んだ遠征。ギリシャと東方の文化がまざった ヘレニズム文化が生まれた。	40.76	22.52	ペラ遺跡 ギリシャ	1
evbuddha	仏教の成立	前5世紀ごろ・インド	ぶっきょうのせいりつ	🕊️	シャカ(ガウタマ・シッダールタ)が ブッダガヤの菩提樹の下でさとりを開き、仏教が生まれた。のちにアジア各地へ広まり 日本にも伝わった。	24.696	84.991	ブッダガヤ 大菩提寺	1
evconfucius	儒教の成立	前6世紀ごろ・中国	じゅきょうのせいりつ	📜	孔子が「仁」や「礼」を大切にする教えを説いた。弟子がまとめた「論語」は 中国や日本、朝鮮の政治や道徳に 長く大きな影響をあたえた。	35.60	116.99	曲阜 孔廟	
evqin	秦の中国統一	前221年・中国	しんのちゅうごくとういつ	👑	秦の王が はじめて中国を統一し「始皇帝」と名のった。文字や貨幣、はかりを統一し、北方の守りとして万里の長城を築いた。	34.385	109.278	兵馬俑 西安	1
evpunic	ポエニ戦争	前264〜前146年・地中海	ぽえにせんそう	⚔️	ローマと カルタゴが 地中海の支配をめぐって3回争った戦争。カルタゴのハンニバルは ゾウを連れてアルプスをこえ ローマを苦しめた。	36.853	10.323	カルタゴ遺跡 チュニス	
evhan	漢の成立	前202年・中国	かんのせいりつ	👑	劉邦(りゅうほう)が項羽をやぶって建てた王朝。約400年つづき、儒教を国の教えとし、紙の改良や歴史書「史記」が生まれた。	34.30	108.86	漢長安城遺跡 西安	
evsilkroad	シルクロードの交易	前2世紀ごろ・中央アジア	しるくろーどのこうえき	🌍	中国と西アジア・ローマを結んだ交易路。中国の絹(シルク)が西へ運ばれたことから この名がついた。仏教や文化も この道を通って伝わった。	40.04	94.80	敦煌 莫高窟	
evcaesar	カエサルの暗殺	前44年・ローマ	かえさるのあんさつ	⚔️	ガリアを征服して人気を集めた将軍カエサルが、独裁をおそれた元老院の議員たちに暗殺された。「ブルータス、おまえもか」の言葉で知られる。	41.892	12.485	フォロ・ロマーノ ローマ	
evromanempire	ローマ帝国の成立	前27年・ローマ	ろーまていこくのせいりつ	🏛️	オクタウィアヌスが「アウグストゥス」の称号を受け、ローマは共和政から帝政へ。地中海を囲む大帝国となり 約200年の平和がつづいた。	41.890	12.492	コロッセオ ローマ	1
evchristianity	キリスト教の成立	1世紀・パレスチナ	きりすときょうのせいりつ	⛪	イエスの教えをもとに、弟子たちが広めた宗教。はじめはローマ帝国に迫害されたが、のちに帝国の国教となり ヨーロッパ全体に広まった。	31.778	35.230	聖墳墓教会 エルサレム	1
evmilan	ミラノ勅令	313年・ローマ帝国	みらのちょくれい	⛪	皇帝コンスタンティヌスが キリスト教を公認した命令。長い迫害が終わり、キリスト教は ローマ帝国の中で 一気に広まっていった。	45.464	9.192	ミラノ大聖堂	
evgermanic	ゲルマン民族の大移動	375年〜・ヨーロッパ	げるまんみんぞくのだいいどう	🌍	アジアのフン人におされたゲルマン人が ローマ帝国の中へ大移動をはじめた。これがきっかけで 西ローマ帝国はおとろえ、476年に滅びた。	44.418	12.201	ラヴェンナ イタリア	
evwestrome	西ローマ帝国の滅亡	476年・イタリア	にしろーまていこくのめつぼう	🏛️	ゲルマン人の傭兵隊長オドアケルが 皇帝を退位させ、西ローマ帝国が滅んだ。ここから ヨーロッパの中世が はじまるとされる。	44.421	12.197	ラヴェンナ サン・ヴィターレ聖堂	
evsui	隋の大運河	605年〜・中国	ずいのだいうんが	🚢	中国を再び統一した隋が、南北を結ぶ大運河をつくった。米の運搬に役立ったが、工事の負担が重く 隋は30年ほどで滅んだ。	30.30	120.15	杭州 京杭大運河	
evtang	唐の成立	618年・中国	とうのせいりつ	👑	李淵が建てた王朝。都の長安は 人口100万の国際都市となり、日本も遣唐使を送って 制度や文化を学んだ。	34.219	108.960	大雁塔 西安	1
evislam	イスラム教の成立	610年ごろ・アラビア半島	いすらむきょうのせいりつ	🌙	ムハンマドが メッカで神(アッラー)の教えを説き、イスラム教がはじまった。聖典は「コーラン」。メッカのカーバ神殿に向かって祈る。	21.423	39.826	メッカ カーバ神殿	1
evtours	トゥール・ポワティエ間の戦い	732年・フランス	とぅーるぽわてぃえかんのたたかい	⚔️	フランク王国が、イベリア半島から北上してきたイスラム軍を食い止めた戦い。西ヨーロッパがキリスト教世界として守られた。	46.58	0.34	ポワティエ フランス	
evcharlemagne	カール大帝の戴冠	800年・ローマ	かーるたいていのたいかん	👑	フランク王国のカール大帝が、ローマ教皇から西ローマ皇帝の冠を受けた。西ヨーロッパの国ぐにの もとになった出来事。	41.902	12.454	サン・ピエトロ大聖堂 バチカン	1
evnorman	ノルマン征服	1066年・イングランド	のるまんせいふく	⚔️	フランスのノルマンディー公ウィリアムが イングランドを征服し、王になった。英語にフランス語の言葉が たくさん入るきっかけになった。	50.912	0.488	ヘイスティングズ イギリス	
evcanossa	カノッサの屈辱	1077年・イタリア	かのっさのくつじょく	⛪	神聖ローマ皇帝ハインリヒ4世が、破門を解いてもらうため 雪の中で3日間 教皇に許しをこうた事件。教皇の力の強さを示した。	44.576	10.457	カノッサ城 イタリア	
evcrusade	十字軍	1096〜1270年・西アジア	じゅうじぐん	⚔️	聖地エルサレムを イスラム勢力から取りもどそうと、ローマ教皇のよびかけで 西ヨーロッパの人びとが 約200年に7回ほど遠征した。	31.777	35.234	エルサレム 旧市街	1
