# 地名(世界)。key	名前	場所	よみ	絵文字	解説	緯度	経度	地図の目印(説明に出てくる有名な場所。空なら その地名そのもの)
usa	アメリカ	北アメリカ	あめりか	🇺🇸	50の州からなる 世界一の経済大国。首都はワシントンで、いちばん大きな町はニューヨーク。	39.5	-98.4	自由の女神像
canada	カナダ	北アメリカ	かなだ	🇨🇦	ロシアに次いで 世界で2番目に広い国。国旗はカエデの葉。英語とフランス語が使われる。	56.1	-106.3	ナイアガラの滝
mexico	メキシコ	北アメリカ	めきしこ	🇲🇽	マヤやアステカの文明が栄えた国。タコスや ソンブレロ、サボテンで知られる。	23.6	-102.6	テオティワカン
brazil	ブラジル	南アメリカ	ぶらじる	🇧🇷	南アメリカでいちばん広い国。アマゾンの熱帯雨林、サッカー、リオのカーニバルが有名。	-14.2	-51.9	コルコバードのキリスト像
argentina	アルゼンチン	南アメリカ	あるぜんちん	🇦🇷	タンゴとサッカーの国。広い草原パンパで牛を育て、南のはしはパタゴニア。	-38.4	-63.6	ブエノスアイレス カミニート
peru	ペルー	南アメリカ	ぺるー	🇵🇪	インカ帝国の国。マチュピチュやナスカの地上絵があり、ジャガイモの生まれた土地。	-9.2	-75.0	マチュピチュ
chile	チリ	南アメリカ	ちり	🇨🇱	南北に約4300kmもある 細長い国。アンデス山脈と 太平洋にはさまれている。	-35.7	-71.5	モアイ像 イースター島
colombia	コロンビア	南アメリカ	ころんびあ	🇨🇴	コーヒーの名産地。南アメリカで唯一、太平洋とカリブ海の両方に面している。	4.6	-74.3	ボゴタ 黄金博物館
cuba	キューバ	カリブ海	きゅーば	🇨🇺	カリブ海に浮かぶ島の国。古いアメリカ車が走り、音楽とサルサ、葉巻で知られる。	21.5	-79.5	ハバナ旧市街
uk	イギリス	ヨーロッパ	いぎりす	🇬🇧	イングランド・スコットランド・ウェールズ・北アイルランドの4つからなる島の国。首都はロンドン。	54.0	-2.5	ビッグ・ベン
france	フランス	ヨーロッパ	ふらんす	🇫🇷	首都はパリ。ワインやチーズ、ファッションや美術で知られる。世界でいちばん観光客が多い国。	46.6	2.2	エッフェル塔
germany	ドイツ	ヨーロッパ	どいつ	🇩🇪	首都はベルリン。自動車づくりが得意で、ソーセージとビール、お城でも有名。	51.2	10.4	ブランデンブルク門
italy	イタリア	ヨーロッパ	いたりあ	🇮🇹	長ぐつの形をした国。ローマの古い遺跡、ピザやパスタ、ルネサンスの美術で知られる。	42.8	12.6	コロッセオ
spain	スペイン	ヨーロッパ	すぺいん	🇪🇸	首都はマドリード。フラメンコ、闘牛、サッカー、パエリアが有名で、昼寝のシエスタの習慣がある。	40.4	-3.7	サグラダ・ファミリア
portugal	ポルトガル	ヨーロッパ	ぽるとがる	🇵🇹	ヨーロッパの西のはし。大航海時代に日本へ鉄砲やパンを伝えた国。首都はリスボン。	39.6	-8.2	ベレンの塔
netherlands	オランダ	ヨーロッパ	おらんだ	🇳🇱	国土の4分の1が海より低い。風車、チューリップ、運河、自転車で知られる。首都はアムステルダム。	52.1	5.3	キンデルダイクの風車
belgium	ベルギー	ヨーロッパ	べるぎー	🇧🇪	チョコレートとワッフル、ビールの国。首都ブリュッセルにはEUの本部がある。	50.5	4.5	グラン・プラス ブリュッセル
switzerland	スイス	ヨーロッパ	すいす	🇨🇭	アルプスの山の国。時計とチーズ、チョコレートで有名。どの国とも同盟しない「永世中立国」。	46.8	8.2	マッターホルン
austria	オーストリア	ヨーロッパ	おーすとりあ	🇦🇹	音楽の都ウィーンがある国。モーツァルトが生まれ、アルプスの山とスキーでも知られる。	47.5	14.6	シェーンブルン宮殿
sweden	スウェーデン	ヨーロッパ	すうぇーでん	🇸🇪	北ヨーロッパの国。ノーベル賞の授賞式が首都ストックホルムで行われる。家具や音楽も有名。	62.0	17.0	ストックホルム市庁舎
norway	ノルウェー	ヨーロッパ	のるうぇー	🇳🇴	氷河がけずった深い入り江「フィヨルド」の国。冬はオーロラ、夏は夜も明るい白夜が見られる。	64.5	11.0	ガイランゲルフィヨルド
denmark	デンマーク	ヨーロッパ	でんまーく	🇩🇰	童話作家アンデルセンと、ブロックのおもちゃレゴが生まれた国。首都はコペンハーゲン。	56.0	10.0	人魚姫の像 コペンハーゲン
finland	フィンランド	ヨーロッパ	ふぃんらんど	🇫🇮	森と湖の国。サウナが生まれた場所で、ムーミンの作者の故郷。サンタクロース村もある。	64.0	26.0	サンタクロース村 ロヴァニエミ
iceland	アイスランド	ヨーロッパ	あいすらんど	🇮🇸	火山と氷河の島の国。温泉や間欠泉が多く、冬にはオーロラが見られる。	64.9	-19.0	ブルーラグーン
poland	ポーランド	ヨーロッパ	ぽーらんど	🇵🇱	ショパンとコペルニクスが生まれた国。首都はワルシャワ。	52.0	19.5	ワルシャワ旧市街
czech	チェコ	ヨーロッパ	ちぇこ	🇨🇿	古い町並みのプラハが首都。ビールを世界でいちばん飲む国といわれる。	49.8	15.5	プラハ城
hungary	ハンガリー	ヨーロッパ	はんがりー	🇭🇺	ドナウ川が流れる首都ブダペストは「ドナウの真珠」。温泉が多く、パプリカ料理が有名。	47.2	19.5	ハンガリー国会議事堂
greece	ギリシャ	ヨーロッパ	ぎりしゃ	🇬🇷	オリンピックと哲学が生まれた国。パルテノン神殿や、白い家がならぶエーゲ海の島々。	39.1	22.0	パルテノン神殿
turkey	トルコ	ヨーロッパ・アジア	とるこ	🇹🇷	ヨーロッパとアジアにまたがる国。イスタンブールのモスク、ケバブ、のびるアイスで知られる。	39.0	35.2	アヤソフィア
russia	ロシア	ヨーロッパ・アジア	ろしあ	🇷🇺	世界でいちばん広い国。日本の45倍の広さで、11の時間帯がある。首都はモスクワ。	61.5	105.3	赤の広場
ireland	アイルランド	ヨーロッパ	あいるらんど	🇮🇪	「エメラルドの島」とよばれる緑の国。妖精の伝説と、音楽やダンスで知られる。	53.4	-8.0	モハーの断崖
egypt	エジプト	アフリカ	えじぷと	🇪🇬	ナイル川のめぐみで栄えた古代文明の国。ピラミッドとスフィンクス、首都はカイロ。	26.8	30.8	ギザのピラミッド
morocco	モロッコ	アフリカ	もろっこ	🇲🇦	アフリカの北西のはし。サハラ砂漠、青い町シャウエン、市場のにぎわいで知られる。	31.8	-7.1	シャウエン
