# からだ。key	名前	分類	よみ	絵文字	解説	地図(front|head|cell)	x	y	Wikipedia題名	はじめのレベル(1か空)
bonskull	頭がい骨	骨	ずがいこつ	🦴	脳を守る頭の骨。ひとつの骨に見えるが、じつは20個以上の骨がぬい目のように組み合わさってできている。	front	0.50	0.04	頭蓋骨	1
bonjaw	下あごの骨	骨	したあごのほね	🦴	頭の骨の中でただひとつ動く骨。かむ・話すときに動き、下の歯がならぶ。医学では下顎骨(かがくこつ)という。	front	0.50	0.135	下顎骨	
boncervical	首の骨	骨	くびのほね	🦴	背骨のいちばん上の7個の骨(頸椎)。重い頭をささえ、首をまわせるようにしている。キリンの首の骨も同じ7個。	front	0.50	0.185	頸椎	
bonclavicle	さ骨	骨	さこつ	🦴	首のつけ根から肩へのびる細長い骨。胸骨とけんこう骨をつなぎ、うでを体の前後左右に動かせるようにささえている。	front	0.40	0.21	鎖骨	
bonscapula	けんこう骨	骨	けんこうこつ	🦴	背中の上の方にある三角形の平たい骨。上腕骨と肩関節をつくり、うでをぐるぐる大きく回せるのはこの骨のおかげ。	front	0.62	0.23	肩甲骨	
bonsternum	胸骨	骨	きょうこつ	🦴	胸のまん中にあるネクタイのような形の骨。左右のろっ骨とさ骨がつながり、心臓や肺を前から守っている。	front	0.50	0.245	胸骨	
bonribs	ろっ骨	骨	ろっこつ	🦴	胸をかごのように囲む左右12対、合わせて24本の骨。心臓と肺を守り、息をするときに広がったりちぢんだりする。	front	0.36	0.28	肋骨	1
bonspine	背骨	骨	せぼね	🦴	首から腰まで、小さな骨(椎骨)が約30個つみ重なってできた体の柱。中を通るせきずいを守り、S字にカーブしている。	front	0.50	0.325	脊椎	1
bonlumbar	腰の骨	骨	こしのほね	🦴	背骨の下の方にある5個の大きな骨(腰椎)。上半身の重さがいちばんかかる場所で、ぎっくり腰はここのけが。	front	0.50	0.52	腰椎	
bonpelvis	骨盤	骨	こつばん	🦴	おなかの下でおわんのような形をした骨。上半身をささえ、内臓を下から受けとめ、足の骨(大腿骨)とつながっている。	front	0.50	0.555	骨盤	
bonsacrum	仙骨	骨	せんこつ	🦴	骨盤のまん中うしろにある逆三角形の骨。5個の骨が大人になるとくっついて1つになり、背骨と骨盤をつないでいる。	front	0.53	0.585	仙骨	
boncoccyx	尾てい骨	骨	びていこつ	🦴	背骨のいちばん下のはし。しっぽのなごりといわれる小さな骨で、しりもちをつくと打ってしまう場所。	front	0.54	0.625	尾骨	
bonhumerus	上腕骨	骨	じょうわんこつ	🦴	肩からひじまでの二の腕の骨。1本の長い骨で、上は肩関節、下はひじ関節をつくる。うでの骨の中でいちばん太い。	front	0.25	0.32	上腕骨	
bonradius	とう骨	骨	とうこつ	🦴	ひじから手首までの前腕にある2本の骨のうち、親指側の骨。手のひらを上下に返すとき、尺骨のまわりを回る。	front	0.175	0.44	橈骨	
bonulna	尺骨	骨	しゃっこつ	🦴	前腕の2本の骨のうち、小指側の骨。ひじを曲げるとひじの先にとび出す「ひじがしら」はこの骨の一部。	front	0.21	0.465	尺骨	
