# 偉人。key	名前	国・時代	よみ	Wikipediaの題名(肖像)	プロフィール	緯度	経度	名言	名言の解説	はじめのレベル(1)	生まれた所
davinci	レオナルド・ダ・ヴィンチ	イタリア・1452〜1519	れおなるどだゔぃんち	レオナルド・ダ・ヴィンチ	「モナ・リザ」「最後の晩餐」を描いた画家で、科学や発明でも天才だった万能の人。空飛ぶ機械のスケッチも残した。	43.78	10.92	シンプルさは、究極の洗練である。	むだをそぎ落として簡単にすることこそ、いちばん高いレベルの美しさだ、という考え。むずかしく見せるより、わかりやすいほうがすごい。	1	ヴィンチ(イタリア)
einstein	アインシュタイン	ドイツ・1879〜1955	あいんしゅたいん	アルベルト・アインシュタイン	相対性理論を作った物理学者。時間や空間の考え方を根本から変え、1921年にノーベル物理学賞を受けた。	48.4	9.99	想像力は、知識よりも大切だ。	知っていることには限りがあるが、想像する力は世界中どこへでも行ける。新しい発見は、いつも「もしこうだったら」から始まるという意味。	1	ウルム(ドイツ)
edison	エジソン	アメリカ・1847〜1931	えじそん	トーマス・エジソン	電球や蓄音機など、生涯に1000をこえる発明をした発明王。小学校を3か月でやめ、母に勉強を教わった。	41.29	-82.6	天才とは、1パーセントのひらめきと99パーセントの努力である。	すばらしいアイデアも、それを形にするのはコツコツした努力だという意味。電球ができるまでに何千回も実験をくり返した本人の言葉。	1	マイラン(アメリカ)
nightingale	ナイチンゲール	イギリス・1820〜1910	ないちんげーる	フローレンス・ナイチンゲール	クリミア戦争でけが人を看護し、病院をきれいにして多くの命を救った。近代看護のもとを作った人。	43.77	11.26	天使とは、美しい花をまき散らす人ではなく、苦しむ人のために戦う人のことです。	やさしい言葉をかけるだけでなく、苦しんでいる人のために本当に行動する人こそがえらい、という意味。	1	フィレンツェ(イタリア)
gandhi	ガンジー	インド・1869〜1948	がんじー	マハトマ・ガンディー	暴力を使わない「非暴力」の運動で、インドをイギリスから独立させた指導者。「インド独立の父」と呼ばれる。	21.64	69.61	あなたが見たいと思う世界の変化に、あなた自身がなりなさい。	世界を良くしたいなら、だれかを待つのではなく、まず自分がその手本になろう、という教え。	1	ポルバンダル(インド)
mlk	キング牧師	アメリカ・1929〜1968	きんぐぼくし	マーティン・ルーサー・キング・ジュニア	黒人への差別をなくすため、暴力を使わずに運動を進めた牧師。1964年にノーベル平和賞を受けた。	33.75	-84.39	私には夢がある。	1963年の演説の言葉。肌の色に関係なく、みんなが仲良く暮らせる日が来るという夢を語り、世界中の人の心を動かした。	1	アトランタ(アメリカ)
lincoln	リンカーン	アメリカ・1809〜1865	りんかーん	エイブラハム・リンカーン	アメリカ第16代大統領。南北戦争のなかで奴隷を解放した。貧しい丸太小屋で生まれ、独学で弁護士になった。	37.56	-85.74	人民の、人民による、人民のための政治。	1863年のゲティスバーグ演説の言葉。政治は一部の人のものではなく、国民みんなのものだ、という民主主義の考えを短く表した。	1	ホジェンビル(アメリカ)
keller	ヘレン・ケラー	アメリカ・1880〜1968	へれんけらー	ヘレン・ケラー	目も耳も不自由だったが、サリバン先生に言葉を教わり、大学を卒業。世界中を回って障がいのある人のために活動した。	34.73	-87.7	顔をいつも太陽のほうに向けていなさい。そうすれば、影は見えません。	明るいほうを見て前向きに生きれば、つらいこと(影)ばかりに気を取られなくてすむ、という意味。	1	タスカンビア(アメリカ)
beethoven	ベートーベン	ドイツ・1770〜1827	べーとーべん	ルートヴィヒ・ヴァン・ベートーヴェン	「運命」「第九」などを作曲した音楽家。耳が聞こえなくなってからも作曲を続け、名曲を生み出した。	50.73	7.1	苦悩を突き抜けて、歓喜へ。	苦しみから逃げずに乗りこえた先に、本当の喜びがあるという意味。耳が聞こえなくなっても曲を作り続けた本人の生き方そのもの。	1	ボン(ドイツ)
mozart	モーツァルト	オーストリア・1756〜1791	もーつぁると	ヴォルフガング・アマデウス・モーツァルト	5歳で作曲を始めた天才音楽家。35年の短い生涯で600をこえる曲を残した。	47.8	13.05	愛、愛、愛。それこそが天才の魂だ。	天才を天才にしているのは、頭の良さよりも音楽や人を愛する気持ちだ、という意味。手紙の中の言葉として伝えられている。	1	ザルツブルク(オーストリア)
