# key	名前	場所	よみ	Commons の検索語	解説	緯度	経度
chambord	シャンボール城	フランス	しゃんぼーるじょう	Château de Chambord	ロワール川の近くに建つ フランス最大の城。二重のらせん階段は レオナルド・ダ・ヴィンチが考えたともいわれる。	47.616	1.517
carcassonne	カルカソンヌ	フランス	かるかそんぬ	Carcassonne cite walls	二重の城壁にかこまれた中世の城塞都市。52の塔があり、ヨーロッパ最大級。世界遺産。	43.206	2.364
etretat	エトルタの断崖	フランス	えとるたのだんがい	Étretat cliffs arch	海にむかう白い崖に、波がけずった大きなアーチがある。画家モネがくり返し描いた風景。	49.71	0.20
nice	ニース	フランス	にーす	Nice Promenade des Anglais beach	地中海にのぞむ 南フランスのリゾート地。青い海ぞいの「プロムナード・デ・ザングレ」を人々が散歩する。	43.695	7.265
strasbourg	ストラスブール大聖堂	フランス	すとらすぶーるだいせいどう	Strasbourg Cathedral	高さ142mの塔をもつ大聖堂。赤みがかった石でできていて、中には天文時計がある。	48.582	7.751
amalfi	アマルフィ海岸	イタリア	あまるふぃかいがん	Amalfi coast Positano	崖にカラフルな家がはりつくように建つ海岸。レモンの名産地で、世界遺産。	40.628	14.485
cinqueterre	チンクエ・テッレ	イタリア	ちんくえてっれ	Cinque Terre Manarola	「5つの村」という意味。海にせまる崖に色とりどりの家が建ち、村と村は歩道と電車でむすばれている。	44.107	9.727
pantheon	パンテオン	イタリア・ローマ	ぱんておん	Pantheon Rome exterior	約1900年前に建てられた ローマの神殿。丸い天井のまん中に穴があいていて、そこから光が入る。	41.899	12.477
spanishsteps	スペイン広場	イタリア・ローマ	すぺいんひろば	Spanish Steps Rome	135段の階段がある広場。映画「ローマの休日」でヒロインがジェラートを食べた場所として有名。	41.906	12.482
dolomites	ドロミテ	イタリア	どろみて	Dolomites Tre Cime di Lavaredo	北イタリアのアルプス。ギザギザの岩山がそびえ、夕日で岩がピンクにそまる。世界自然遺産。	46.62	12.30
jungfrau	ユングフラウヨッホ	スイス	ゆんぐふらうよっほ	Jungfraujoch	標高3454mにある ヨーロッパでいちばん高い駅。登山電車で登れて、氷河と雪の山を見わたせる。	46.547	7.985
lucerne	ルツェルンのカペル橋	スイス	るつぇるんのかぺるばし	Chapel Bridge Lucerne	14世紀にかけられた 屋根つきの木の橋。ヨーロッパ最古の木の橋の一つで、花でかざられている。	47.052	8.307
montblanc	モンブラン	フランス・イタリア	もんぶらん	Mont Blanc from Chamonix	標高4808mで アルプスの最高峰。「白い山」という意味で、ふもとのシャモニーから ロープウェイで近づける。	45.833	6.865
rothenburg	ローテンブルク	ドイツ	ろーてんぶるく	Rothenburg ob der Tauber Plönlein	中世の町並みがそのまま残る町。城壁にかこまれ、カラフルな木組みの家がならぶ。	49.375	10.179
heidelberg	ハイデルベルク城	ドイツ	はいでるべるくじょう	Heidelberg Castle	川を見おろす丘に建つ 赤い石の城あと。中には約22万リットルも入る世界最大級のワインだるがある。	49.410	8.715
dresden	ドレスデンのフラウエン教会	ドイツ	どれすでんのふらうえんきょうかい	Frauenkirche Dresden	戦争でくずれた教会を、がれきの石を使って2005年に建て直した。黒い石が元の部分。	51.052	13.741
berlinwall	ベルリンの壁	ドイツ	べるりんのかべ	Berlin Wall memorial Bernauer Strasse	1961年から1989年まで 東西ベルリンを分けていた壁。今も一部が残り、歴史を伝えている。	52.535	13.390
windsor	ウィンザー城	イギリス	うぃんざーじょう	Windsor Castle	約1000年前から使われている 世界最古で最大の「今も人が住む城」。イギリス国王の住まいの一つ。	51.484	-0.604
cotswolds	コッツウォルズ	イギリス	こっつうぉるず	Bibury Arlington Row	はちみつ色の石の家がならぶ 田園地帯。「イギリスでいちばん美しい村」とよばれるバイブリーがある。	51.758	-1.834
sevensisters	セブン・シスターズ	イギリス	せぶんしすたーず	Seven Sisters cliffs Sussex	白い崖が7つの波のようにつづく海岸。チョークでできていて、海からよく目立つ。	50.75	0.15
